Designator,Mid X,Mid Y,Rotation,Layer
R56,146.25,-83.74373,90.0,top
R57,146.25,-86.79373,90.0,top
R58,146.25,-68.46873,90.0,top
R59,146.25,-65.39373,90.0,top
R6,146.25,-146.15627,90.0,top
R60,147.8,-83.74373,90.0,top
R61,147.8,-86.79373,90.0,top
R62,147.8,-68.46873,90.0,top
R63,147.8,-65.39373,90.0,top
R64,146.25,-77.64246,90.0,top
R65,146.25,-80.66873,90.0,top
R66,146.2525,-71.52373,90.0,top
R67,146.2525,-74.57373,90.0,top
R68,147.8,-77.64246,90.0,top
R69,147.8,-80.66873,90.0,top
R7,146.25,-149.20627,90.0,top
R70,147.8025,-71.52373,90.0,top
R71,147.8025,-74.57373,90.0,top
R72,128.45,-81.69373,90.0,top
R73,173.9625,-86.053429,90.0,top
R74,173.9625,-82.94373,270.0,top
R75,173.9225,-70.309031,90.0,top
R76,173.9225,-67.22373,270.0,top
R77,175.5125,-86.053429,90.0,top
R78,175.5125,-82.94373,90.0,top
R79,175.4625,-70.309031,90.0,top
R8,146.25,-130.88127,90.0,top
R80,175.4725,-67.22873,90.0,top
R81,146.355,-51.805,90.0,top
R82,146.355,-54.855,90.0,top
R83,146.355,-36.53,90.0,top
R84,146.355,-33.455,90.0,top
R85,147.905,-51.805,90.0,top
R86,147.905,-54.855,90.0,top
R87,147.905,-36.53,90.0,top
R88,147.905,-33.455,90.0,top
R89,146.355,-45.70373,90.0,top
R9,146.25,-127.80627,90.0,top
R90,146.355,-48.73,90.0,top
R91,146.3575,-39.585,90.0,top
R92,146.3575,-42.635,90.0,top
R93,147.905,-45.70373,90.0,top
R94,147.905,-48.73,90.0,top
R95,147.9075,-39.585,90.0,top
R96,147.9075,-42.635,90.0,top
R97,128.555,-49.755,90.0,top
R98,174.0675,-54.114699,90.0,top
R99,174.0675,-51.005,270.0,top
RV1,226.065,-34.226401,180.0,top
RV2,195.37869,-33.83627,0.0,top
RV3,206.89869,-55.88627,180.0,top
SW1,62.76,-111.94,180.0,top
SW2,62.76,-121.19,180.0,top
SW3,87.29619,-51.51377,0.0,top
SW4,186.9,-39.9425,270.0,top
U1,75.06,-95.99,90.0,top
U10,162.708676,-115.6361,90.0,top
U11,163.150001,-99.580601,270.0,top
U12,132.075,-76.19373,180.0,top
